tweet_id,retweet_count,favorite_count
668645506898350081,516,870
668655139528511488,215,519
668779399630725120,366,695
668815180734689280,261,561
668826086256599040,132,428
668852170888998912,161,446
668872652652679168,294,516
668892474547511297,146,391
668902994700836864,98,314
668932921458302977,56,258
668955713004314625,69,273
668960084974809088,233,691
668967877119254528,22,145
668975677807423489,566,1281
668979806671884288,339,779
668981893510119424,299,528
668986018524233728,163,543
668988183816871936,455,884
668989615043424256,322,668
668992363537309700,336,730
668994913074286592,224,433
669000397445533696,6229,20506
669006782128353280,241,567
669015743032369152,367,731
669037058363662336,305,642
669203728096960512,463,988
669214165781868544,160,429
669216679721873412,398,1178
669324657376567296,202,493
669327207240699904,114,566
669328503091937280,410,1003
669351434509529089,177,428
669353438988365824,257,623
669354382627049472,1253,2654
669359674819481600,119,365
669363888236994561,220,610
669367896104181761,148,453
669371483794317312,175,488
669375718304980992,713,1311
669393256313184256,74,357
669564461267722241,120,377
669567591774625800,54,230
669571471778410496,994,1569
669573570759163904,136,428
669583744538451968,909,1473
669597912108789760,148,506
669603084620980224,355,934
669625907762618368,1785,3473
669661792646373376,423,792
669680153564442624,279,653
669682095984410625,130,346
669683899023405056,109,382
669684865554620416,88,506
669749430875258880,65,259
669753178989142016,388,798
669923323644657664,53,229
669926384437997569,98,367
669942763794931712,157,496
669970042633789440,58,301
669972011175813120,154,439
669993076832759809,82,319
670003130994700288,91,327
670037189829525505,266,581
670040295598354432,110,745
670046952931721218,167,636
670055038660800512,324,655
670061506722140161,328,748
670069087419133954,230,613
670073503555706880,767,1552
670079681849372674,1195,2187
670086499208155136,245,687
670093938074779648,326,1003
670290420111441920,277,691
670303360680108032,128,424
670319130621435904,1200,3813
670338931251150849,106,416
670361874861563904,64,324
670374371102445568,264,741
670385711116361728,201,550
670403879788544000,151,423
670408998013820928,217,549
670411370698022913,872,1993
670417414769758208,313,559
670420569653809152,306,615
670421925039075328,615,1282
670427002554466305,156,515
670428280563085312,606,1356
670433248821026816,109,322
670434127938719744,629,1374
670435821946826752,505,1035
670442337873600512,193,632
670444955656130560,1944,6613
670449342516494336,637,1176
670452855871037440,201,540
670465786746662913,537,949
670468609693655041,84,349
670474236058800128,723,1485
670668383499735048,4915,10510
670676092097810432,40,243
670679630144274432,275,738
670691627984359425,238,584
670704688707301377,362,761
670717338665226240,483,1184
670727704916926465,350,814
670733412878163972,501,944
670755717859713024,108,432
670764103623966721,410,1052
670778058496974848,71,324
670780561024270336,283,775
670782429121134593,754,1533
670783437142401025,379,806
670786190031921152,197,595
670789397210615808,235,651
670792680469889025,270,812
670797304698376195,233,725
670803562457407488,86,337
670804601705242624,935,1927
670807719151067136,483,1141
670811965569282048,266,1108
670815497391357952,1506,3121
670822709593571328,92,598
670823764196741120,182,762
670826280409919488,3971,5437
670832455012716544,210,721
670833812859932673,119,435
670838202509447168,678,1087
670840546554966016,189,579
670842764863651840,8512,24218
670995969505435648,287,1089
671109016219725825,429,1119
671115716440031232,758,1351
671122204919246848,2470,3436
671134062904504320,188,735
671138694582165504,393,908
671141549288370177,643,1138
671147085991960577,213,654
671151324042559489,151,658
671154572044468225,214,702
671159727754231808,79,364
671163268581498880,1073,1637
671166507850801152,341,859
671182547775299584,335,1102
671186162933985280,206,726
671347597085433856,420,943
671355857343524864,114,476
671357843010908160,147,395
671362598324076544,291,1087
671390180817915904,733,1423
671485057807351808,227,751
671486386088865792,193,572
671488513339211776,463,994
671497587707535361,438,899
671504605491109889,3490,6894
671511350426865664,697,1583
671518598289059840,289,936
671520732782923777,521,1380
671528761649688577,259,834
671533943490011136,567,1009
671536543010570240,395,1156
