tweet_id retweet_count favorite_count 
671362598324076544 292 1091 
671390180817915904 733 1427 
671485057807351808 229 757 
671486386088865792 195 573 
671488513339211776 464 1003 
671497587707535361 440 905 
671504605491109889 3510 6925 
671511350426865664 703 1591 
671518598289059840 290 942 
671520732782923777 522 1386 
671528761649688577 258 835 
671533943490011136 570 1010 
671536543010570240 399 1159 
671538301157904385 391 921 
671542985629241344 556 1082 
671544874165002241 1034 1953 
671547767500775424 585 1336 
671550332464455680 206 900 
671561002136281088 7131 12679 
671729906628341761 4292 8415 
671735591348891648 743 1430 
671743150407421952 233 741 
671744970634719232 756 1338 
671763349865160704 905 1656 
671768281401958400 501 1182 
671789708968640512 3440 6993 
671855973984772097 435 895 
671866342182637568 485 1102 
671874878652489728 549 1235 
671879137494245376 667 1400 
671882082306625538 1361 3425 
671891728106971137 566 1317 
671896809300709376 4104 8418 
672068090318987265 513 1280 
672082170312290304 358 934 
672095186491711488 367 993 
672125275208069120 1128 2372 
672139350159835138 688 1727 
672160042234327040 353 864 
672169685991993344 364 1007 
672205392827572224 1139 2241 
672222792075620352 209 776 
672231046314901505 993 1808 
672239279297454080 319 883 
672245253877968896 155 675 
672248013293752320 598 1710 
672254177670729728 731 1416 
672256522047614977 1526 2789 
672264251789176834 333 1126 
672267570918129665 608 1483 
672272411274932228 3330 6400 
672466075045466113 530 1339 
672475084225949696 692 1417 
672481316919734272 124 709 
672482722825261057 591 1121 
672488522314567680 434 1102 
672523490734551040 167 632 
672538107540070400 360 1019 
672591271085670400 179 716 
672591762242805761 332 942 
672594978741354496 603 1319 
672604026190569472 397 1100 
672609152938721280 385 1104 
672614745925664768 575 1212 
672622327801233409 485 1287 
672640509974827008 317 967 
672828477930868736 488 1244 
672834301050937345 558 1303 
672877615439593473 359 1018 
672884426393653248 830 1528 
672898206762672129 424 898 
672902681409806336 498 1349 
672964561327235073 633 1405 
672968025906282496 542 1305 
672970152493887488 353 938 
672975131468300288 898 1661 
672980819271634944 990 1808 
672984142909456390 539 1251 
672988786805112832 292 978 
672995267319328768 288 944 
672997845381865473 716 1959 
673148804208660480 623 1674 
673213039743795200 833 2227 
673240798075449344 724 1410 
673270968295534593 365 1057 
673295268553605120 3138 7458 
673317986296586240 255 871 
673320132811366400 7826 13358 
673342308415348736 574 1260 
673343217010679808 269 963 
673345638550134785 1251 2487 
673350198937153538 212 743 
673352124999274496 531 1646 
673355879178194945 569 1480 
673359818736984064 665 1440 
673363615379013632 305 1015 
673576835670777856 556 1376 
673580926094458881 269 828 
673583129559498752 357 1180 
673612854080196609 721 1589 
673636718965334016 356 1093 
673656262056419329 238 715 
673662677122719744 363 1244 
673680198160809984 466 1364 
673686845050527744 434 1423 
673688752737402881 491 1255 
673689733134946305 647 1725 
673697980713705472 1930 3769 
673700254269775872 560 1430 
673705679337693185 402 1250 
673707060090052608 387 1093 
673708611235921920 285 1073 
673709992831262724 273 842 
673711475735838725 297 1030 
673715861853720576 2054 3523 
673716320723169284 741 3061 
673887867907739649 251 925 
673906403526995968 1623 3176 
673919437611909120 370 1160 
673956914389192708 948 1938 
